outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,2,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,0a3d4df2b099633040b247a67bf5fced4ad83f0ae04c759f42e5e0b17caf2d75,138,-0.3078894764492226,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,d47a0a746d75e4b75f5061417f27de183e5f6cd3a0ea8e30f25260fb93d21ac9,138,-0.3067727650947575,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,d5dc920bda2453298605a322e10e3a52b853adf1f96ea4b906c51615d345a78c,138,-0.29942338480156505,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.01,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,cdffadad4e4645b177db8c05573bebdd5f24a1be35feb8956a374bba6f4481a6,138,-0.2856273260811906,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.1,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,4f4978de47456a23a10dca8629361bd56f6529fef9b58fa356137ff6a328ae6a,138,-0.3529404192824921,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,66294fb520e2b078e768ed47d7ae25eea8589bcae65bea346b0815cdf0a3da9e,139,-0.3164774797454646,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.0001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,fb7e9be3367e8e29d784495f4fbf3b3642c825f4509dac3fd72aedb6a4206d67,139,-0.3153280025157531,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,59984f28718088cfc84c44ccdd8520b8e6afa86d534e7834e532ae61db93e1c2,139,-0.3077869627049429,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.01,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,52e24b1b6197c5340fcde265a622226891cab689ef084d8a86abcaba72f1a158,139,-0.2930017610694456,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,HU_plus_surface,0.1,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,e93aae80f3d45a5fd04fb68b626183ecca92523bd6f431a6f021c57b252f8b55,139,-0.3574220597773089,0.01
