setting	metric	analysis_variant	information_protocol	approximation	regularization_view	model_a	model_b	roots	mean_log_score_a_minus_b	root_wins_a	root_ties	replicates	seed	conditional_95_lower	conditional_95_upper
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_nonnegative	HU_plus_surface	515	-0.030809623105369444	352	0	5000	2026092007	-0.07470583767613032	0.00951191067016037
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.04029623165384262	407	0	5000	2026092007	-0.0679998400153735	-0.015026106885109037
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	current_only	input_plus_surface	515	-0.30118077015091	32	0	5000	2026092007	-0.3583870181494153	-0.24402965286876163
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	current_only	HU_plus_surface	515	-0.3166329216918715	26	0	5000	2026092007	-0.37529698115861815	-0.2566532726455902
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	current_only	retention_bounded_plus_HU	515	-0.32611953024034473	37	0	5000	2026092007	-0.39079828690718643	-0.26235149601873126
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	input_plus_surface	HU_plus_surface	515	-0.01545215154096155	219	0	5000	2026092007	-0.04119923943036406	0.009940140910853192
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.02493876008943472	51	0	5000	2026092007	-0.04410191891906081	-0.005350084219350962
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	HU_plus_surface	retention_bounded_plus_HU	515	-0.009486608548473168	127	0	5000	2026092007	-0.030725563293660278	0.011639494717461493
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_bounded	retention_nonnegative	515	0.02159534226450554	89	0	5000	2026092007	0.008594172351924343	0.035397380551874226
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_bounded	current_only	515	0.3074186408510076	483	0	5000	2026092007	0.24121787901340092	0.3731289307874334
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_bounded	input_plus_surface	515	0.006237870700097639	61	0	5000	2026092007	-0.011176082637647425	0.02317615150385245
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_bounded	HU_plus_surface	515	-0.006811575010877395	67	0	5000	2026092007	-0.04058351100595693	0.023262275148660853
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_bounded	retention_bounded_plus_HU	515	-0.016040913138590754	82	0	5000	2026092007	-0.03615752007778105	0.0015428625323372542
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_nonnegative	current_only	515	0.28582329858650213	480	0	5000	2026092007	0.21022512214282615	0.3614507830392266
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_nonnegative	input_plus_surface	515	-0.015357471564407905	414	0	5000	2026092007	-0.04305898945984828	0.01190923160500305
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_nonnegative	HU_plus_surface	515	-0.02840691727538292	275	0	5000	2026092007	-0.06922252890086444	0.009490670992560783
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.0376362554030963	340	0	5000	2026092007	-0.06357302947871318	-0.014250700007044195
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	current_only	input_plus_surface	515	-0.30118077015091	32	0	5000	2026092007	-0.3583870181494153	-0.24402965286876163
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	current_only	HU_plus_surface	515	-0.31423021586188504	30	0	5000	2026092007	-0.3751675863530761	-0.2518073738661615
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	current_only	retention_bounded_plus_HU	515	-0.3234595539895984	35	0	5000	2026092007	-0.3894408545463192	-0.2585444888572123
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	input_plus_surface	HU_plus_surface	515	-0.013049445710975029	71	0	5000	2026092007	-0.03840782411261268	0.012617939436844208
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.022278783838688396	66	0	5000	2026092007	-0.04303132407885998	-0.0010885748420349738
uniform20	joint	all_agreeing_offsets	wholly_unseen	gh80	selected	HU_plus_surface	retention_bounded_plus_HU	515	-0.009229338127713363	215	0	5000	2026092007	-0.032037145562261435	0.013893337924172054
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_bounded	retention_nonnegative	338	0.007300278642971695	281	0	5000	2026092007	-0.0035910172999677704	0.018574245533451272
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_bounded	current_only	338	0.25212995646829794	316	0	5000	2026092007	0.17652621781456856	0.32191885535254094
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_bounded	input_plus_surface	338	-0.018184703180344708	56	0	5000	2026092007	-0.03129191787278007	-0.006620351248928993
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_bounded	HU_plus_surface	338	-0.03287126570541188	58	0	5000	2026092007	-0.06920974758909328	0.0012453835661112825
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_bounded	retention_bounded_plus_HU	338	-0.018366108524260485	38	0	5000	2026092007	-0.041895538411605274	0.0024689394801545917
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_nonnegative	current_only	338	0.24482967782532622	315	0	5000	2026092007	0.16671830177808425	0.31686549169495076
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_nonnegative	input_plus_surface	338	-0.025484981823316405	57	0	5000	2026092007	-0.0439695415845346	-0.008896327765782372
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_nonnegative	HU_plus_surface	338	-0.040171544348383575	59	0	5000	2026092007	-0.08101360396501593	-0.0026113457674753417
uniform20	joint	unrounded_strict	side_informed	laplace	selected	retention_nonnegative	retention_bounded_plus_HU	338	-0.025666387167232182	57	0	5000	2026092007	-0.05277663382501751	-0.002059462813157932
uniform20	joint	unrounded_strict	side_informed	laplace	selected	current_only	input_plus_surface	338	-0.27031465964864265	22	0	5000	2026092007	-0.33283667337236506	-0.20273911501027958
uniform20	joint	unrounded_strict	side_informed	laplace	selected	current_only	HU_plus_surface	338	-0.2850012221737098	20	0	5000	2026092007	-0.3476871160038599	-0.21837557593480417
uniform20	joint	unrounded_strict	side_informed	laplace	selected	current_only	retention_bounded_plus_HU	338	-0.2704960649925584	26	0	5000	2026092007	-0.3406516014568015	-0.19258677337691638
uniform20	joint	unrounded_strict	side_informed	laplace	selected	input_plus_surface	HU_plus_surface	338	-0.014686562525067176	37	0	5000	2026092007	-0.0432400530548322	0.013773469885970028
uniform20	joint	unrounded_strict	side_informed	laplace	selected	input_plus_surface	retention_bounded_plus_HU	338	-0.00018140534391577885	35	0	5000	2026092007	-0.020667441872710354	0.02192416945411754
uniform20	joint	unrounded_strict	side_informed	laplace	selected	HU_plus_surface	retention_bounded_plus_HU	338	0.014505157181151394	38	0	5000	2026092007	-0.008229710882735934	0.03753014739065369
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_bounded	retention_nonnegative	338	0.007300278642971695	281	0	5000	2026092007	-0.0035910172999677704	0.018574245533451272
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_bounded	current_only	338	0.25212995646829794	316	0	5000	2026092007	0.17652621781456856	0.32191885535254094
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_bounded	input_plus_surface	338	-0.018184703180344708	56	0	5000	2026092007	-0.03129191787278007	-0.006620351248928993
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_bounded	HU_plus_surface	338	-0.037620027900578994	60	0	5000	2026092007	-0.07177442853949169	-0.007176648384856212
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_bounded	retention_bounded_plus_HU	338	-0.013914717847084979	38	0	5000	2026092007	-0.032302579507716866	0.0026850193652092082
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_nonnegative	current_only	338	0.24482967782532622	315	0	5000	2026092007	0.16671830177808425	0.31686549169495076
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_nonnegative	input_plus_surface	338	-0.025484981823316405	57	0	5000	2026092007	-0.0439695415845346	-0.008896327765782372
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_nonnegative	HU_plus_surface	338	-0.04492030654355069	60	0	5000	2026092007	-0.0830550012497078	-0.010870887056053673
uniform20	joint	unrounded_strict	side_informed	gh80	selected	retention_nonnegative	retention_bounded_plus_HU	338	-0.021214996490056672	59	0	5000	2026092007	-0.04321163981244895	-0.0013390685176713514
