setting	analysis_variant	information_protocol	approximation	model	regularization_view	roots	incidences	root_balanced_joint	incidence_weighted_joint	root_balanced_raising	root_balanced_harmony_old_vs_opposite
half20	all_strict	side_informed	not_applicable	retention_bounded	selected	515	58577	-0.31063259241253516	-0.10399237947550896	-0.11439523921083507	-0.20324580914304857
half20	all_strict	side_informed	not_applicable	retention_nonnegative	selected	515	58577	-0.3297858149720953	-0.11629270298752693	-0.11213399395758109	-0.21958567720466923
half20	all_strict	wholly_unseen	gh80	HU_plus_surface	selected	515	58577	-0.548521086073921	-0.6721808280014324	-0.38032485506953567	-0.17577997258651926
half20	all_strict	wholly_unseen	gh80	retention_bounded_plus_HU	selected	515	58577	-0.5728188328175061	-0.6640015224156404	-0.3888510327256708	-0.19543481086034517
half20	all_strict	wholly_unseen	laplace	HU_plus_surface	selected	515	58577	-0.5481992428592298	-0.6740576625555791	-0.3804473005652412	-0.17573818010759554
half20	all_strict	wholly_unseen	laplace	retention_bounded_plus_HU	selected	515	58577	-0.5652764882172823	-0.6634287253672593	-0.3883951524460981	-0.18784065501618352
half20	all_strict	wholly_unseen	not_applicable	current_only	selected	515	58577	-0.8334124104190453	-0.8946805876137015	-0.4012939190660357	-0.4434130355436518
half20	all_strict	wholly_unseen	not_applicable	input_plus_surface	selected	515	58577	-0.5721111925865402	-0.6731714375283384	-0.38577156144787367	-0.1989723017936085
half20	all_strict	wholly_unseen	not_applicable	retention_bounded	selected	515	58577	-0.5975839409720675	-0.6756106012412088	-0.40134658777036747	-0.21291511661433304
half20	all_strict	wholly_unseen	not_applicable	retention_nonnegative	selected	515	58577	-0.6058885342670433	-0.6887068500243904	-0.38823671325252906	-0.2221071164706322
half20	unrounded_strict	side_informed	gh80	HU_plus_surface	selected	338	29104	-0.29358415217021133	-0.1516569300742383	-0.11567314078416917	-0.18081533026233731
half20	unrounded_strict	side_informed	gh80	retention_bounded_plus_HU	selected	338	29104	-0.31730399274932564	-0.15006877435063268	-0.12170573860136248	-0.2007187834937289
half20	unrounded_strict	side_informed	laplace	HU_plus_surface	selected	338	29104	-0.2983250083523159	-0.15343678369211658	-0.11546262736148565	-0.18550621904518444
